2024-05-27 16:06:36.717 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:06:43.918 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=False question='您好'
2024-05-27 16:06:43.919 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - 您好 has been transformed into 您好
2024-05-27 16:06:43.921 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:06:43.922 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': False, 'question': '您好', 'history': ''}
2024-05-27 16:06:43.923 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:19 - 您好 don't need retrieval
2024-05-27 16:06:43.927 | INFO     | PK_LLM_endfront.Langgraph.Edges:Web_search_manager:27 - ---Doing Web_search_manager---
2024-05-27 16:06:45.858 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Web_searcher:175 - ---WEB SEARCH---
2024-05-27 16:06:54.266 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:06:56.527 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=False question='您好'
2024-05-27 16:06:56.528 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - 您好 has been transformed into 您好
2024-05-27 16:06:56.530 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:06:56.531 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': False, 'question': '您好', 'history': ''}
2024-05-27 16:06:56.531 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:19 - 您好 don't need retrieval
2024-05-27 16:06:56.535 | INFO     | PK_LLM_endfront.Langgraph.Edges:Web_search_manager:27 - ---Doing Web_search_manager---
2024-05-27 16:06:59.626 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Generater_dirctly:242 - ---Doing Generater_dirctly---
2024-05-27 16:07:08.228 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:07:10.851 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='What are the types of iron-phosphorus compounds present in sewage sludge and how can they be identified and fractionated?'
2024-05-27 16:07:10.853 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - 污水污泥中现有哪些种类的铁磷化合物，如何对其进行识别和分馏？ has been transformed into What are the types of iron-phosphorus compounds present in sewage sludge and how can they be identified and fractionated?
2024-05-27 16:07:10.855 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:07:10.855 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': 'What are the types of iron-phosphorus compounds present in sewage sludge and how can they be identified and fractionated?', 'history': ''}
2024-05-27 16:07:10.856 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - What are the types of iron-phosphorus compounds present in sewage sludge and how can they be identified and fractionated? need retrieval
2024-05-27 16:07:10.859 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
2024-05-27 16:07:10.860 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:95 - 选择的知识库代号为：[5, 4]
2024-05-27 16:07:10.863 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:119 - ---Doing Retrievers---
2024-05-27 16:07:28.898 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 5 get 10 context
2024-05-27 16:07:44.620 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 4 get 10 context
2024-05-27 16:07:44.622 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Reranker:146 - ---Doing Reranker---
2024-05-27 16:07:44.624 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Generater:197 - ---Doing Generater---
2024-05-27 16:08:12.142 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:08:14.607 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?'
2024-05-27 16:08:14.608 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - What arethe existing species of iron-phosphorus compounds in sewage sludge and how can they be identified and fractionated? has been transformed into What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?
2024-05-27 16:08:14.610 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:08:14.611 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': 'What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?', 'history': ''}
2024-05-27 16:08:14.611 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated? need retrieval
2024-05-27 16:08:14.613 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
2024-05-27 16:08:14.614 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:95 - 选择的知识库代号为：[6, 2]
2024-05-27 16:08:14.616 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:119 - ---Doing Retrievers---
2024-05-27 16:08:27.245 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 6 get 10 context
2024-05-27 16:08:50.869 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:08:54.172 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?'
2024-05-27 16:08:54.174 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - What arethe existing species of iron-phosphorus compounds in sewage sludge and how can they be identified and fractionated? has been transformed into What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?
2024-05-27 16:08:54.176 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:08:54.176 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': 'What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?', 'history': ''}
2024-05-27 16:08:54.177 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated? need retrieval
2024-05-27 16:08:54.179 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
2024-05-27 16:08:54.180 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:95 - 选择的知识库代号为：[6, 1]
2024-05-27 16:08:54.182 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:119 - ---Doing Retrievers---
2024-05-27 16:09:08.511 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 6 get 10 context
2024-05-27 16:09:23.370 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 1 get 10 context
2024-05-27 16:09:23.372 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Reranker:146 - ---Doing Reranker---
2024-05-27 16:09:23.374 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Generater:197 - ---Doing Generater---
2024-05-27 16:10:06.265 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:10:08.712 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?'
2024-05-27 16:10:08.713 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - What arethe existing species of iron-phosphorus compounds in sewage sludge and how can they be identified and fractionated? has been transformed into What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?
2024-05-27 16:10:08.714 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:10:08.715 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': 'What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated?', 'history': ''}
2024-05-27 16:10:08.716 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - What are the different species of iron-phosphorus compounds in sewage sludge and how can they be identified and separated? need retrieval
2024-05-27 16:10:08.718 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
2024-05-27 16:10:08.719 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:95 - 选择的知识库代号为：[2, 1]
2024-05-27 16:10:08.721 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:119 - ---Doing Retrievers---
2024-05-27 16:10:23.581 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 2 get 10 context
2024-05-27 16:10:37.532 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 1 get 10 context
2024-05-27 16:10:37.534 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Reranker:146 - ---Doing Reranker---
2024-05-27 16:10:37.536 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Generater:197 - ---Doing Generater---
2024-05-27 16:12:45.267 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:12:47.408 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='What are the types of iron-phosphorus compounds present in sewage sludge, and how are they identified and separated?'
2024-05-27 16:12:47.409 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 - 污水污泥中存在的铁-磷化合物种类是什么，它们如何被识别和分离？ has been transformed into What are the types of iron-phosphorus compounds present in sewage sludge, and how are they identified and separated?
2024-05-27 16:12:47.411 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:12:47.411 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': 'What are the types of iron-phosphorus compounds present in sewage sludge, and how are they identified and separated?', 'history': ''}
2024-05-27 16:12:47.412 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - What are the types of iron-phosphorus compounds present in sewage sludge, and how are they identified and separated? need retrieval
2024-05-27 16:12:47.415 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
2024-05-27 16:12:47.415 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:95 - 选择的知识库代号为：[2, 4]
2024-05-27 16:12:47.419 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:119 - ---Doing Retrievers---
2024-05-27 16:13:01.790 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 2 get 10 context
2024-05-27 16:13:15.575 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Retrievers:128 - domain 4 get 10 context
2024-05-27 16:13:15.578 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Reranker:146 - ---Doing Reranker---
2024-05-27 16:13:15.581 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Generater:197 - ---Doing Generater---
2024-05-27 16:14:45.695 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:37 - ---Doing Intent_analyze---
2024-05-27 16:14:47.617 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:42 - retrieval=True question='什么是PFAS'
2024-05-27 16:14:47.619 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Intent_analyze:43 -  什么PFAS has been transformed into 什么是PFAS
2024-05-27 16:14:47.620 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:13 - ---Doing Retrieval_manager---
2024-05-27 16:14:47.621 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:14 - {'retrieval': True, 'question': '什么是PFAS', 'history': ''}
2024-05-27 16:14:47.622 | INFO     | PK_LLM_endfront.Langgraph.Edges:Retrieval_manager:16 - 什么是PFAS need retrieval
2024-05-27 16:14:47.623 | INFO     | PK_LLM_endfront.Langgraph.Nodes:Router:92 - ---Doing Router---
